Time	Heading	mFLt	mFR	mBL	mBR
61	0,0819	-96	-96	-96	-96
62	0,0827	-96	-96	-96	-96
63	0,0835	-96	-96	-96	-96
64	0,0837	-96	-96	-96	-96
65	0,0858	-95	-95	-95	-95
66	0,0844	-95	-95	-95	-95
67	0,0832	-95	-95	-95	-95
68	0,0844	-95	-95	-95	-95
69	0,0822	-95	-95	-95	-95
70	0,0802	-95	-95	-95	-95
71	0,0824	-95	-95	-95	-95
72	0,0822	-95	-95	-95	-95
73	0,0835	-95	-95	-95	-95
74	0,0844	-95	-95	-95	-95
75	0,0869	-95	-95	-95	-95
76	0,0857	-95	-95	-95	-95
77	0,0834	-95	-95	-95	-95
78	0,0858	-94	-94	-94	-94
79	0,0918	-94	-94	-94	-94
80	0,0963	-94	-94	-94	-94
81	0,1018	-94	-94	-94	-94
82	0,1078	-94	-94	-94	-94
83	0,1143	-94	-94	-94	-94
84	0,1181	-94	-94	-94	-94
85	0,1224	-94	-94	-94	-94
86	0,1288	-94	-94	-94	-94
87	0,1313	-94	-94	-94	-94
88	0,1356	-94	-94	-94	-94
89	0,1413	-94	-94	-94	-94
90	0,1467	-94	-94	-94	-94
91	0,1507	-93	-93	-93	-93
92	0,1517	-93	-93	-93	-93
93	0,1548	-93	-93	-93	-93
94	0,1587	-93	-93	-93	-93
95	0,1615	-93	-93	-93	-93
96	0,1654	-93	-93	-93	-93
97	0,1684	-93	-93	-93	-93
98	0,1712	-93	-93	-93	-93
99	0,1731	-93	-93	-93	-93
100	0,1776	-93	-93	-93	-93
101	0,1804	-93	-93	-93	-93
102	0,1827	-93	-93	-93	-93
103	0,1875	-93	-93	-93	-93
104	0,1880	-92	-92	-92	-92
105	0,1921	-92	-92	-92	-92
106	0,1988	-92	-92	-92	-92
107	0,2043	-92	-92	-92	-92
108	0,2084	-92	-92	-92	-92
109	0,2122	-92	-92	-92	-92
110	0,2168	-92	-92	-92	-92
111	0,2239	-92	-92	-92	-92
112	0,2277	-92	-92	-92	-92
113	0,2338	-92	-92	-92	-92
114	0,2394	-92	-92	-92	-92
115	0,2439	-92	-92	-92	-92
116	0,2479	-92	-92	-92	-92
117	0,2558	-91	-91	-91	-91
118	0,2544	-91	-91	-91	-91
119	0,2536	-91	-91	-91	-91
120	0,2530	-91	-91	-91	-91
121	0,2529	-91	-91	-91	-91
122	0,2535	-91	-91	-91	-91
123	0,2562	-91	-91	-91	-91
124	0,2570	-91	-91	-91	-91
125	0,2554	-91	-91	-91	-91
126	0,2545	-91	-91	-91	-91
127	0,2562	-91	-91	-91	-91
128	0,2554	-91	-91	-91	-91
129	0,2555	-91	-91	-91	-91
130	0,2555	-90	-90	-90	-90
131	0,2564	-90	-90	-90	-90
132	0,2550	-90	-90	-90	-90
133	0,2546	-90	-90	-90	-90
134	0,2572	-90	-90	-90	-90
135	0,2565	-90	-90	-90	-90
136	0,2569	-90	-90	-90	-90
137	0,2584	-90	-90	-90	-90
138	0,2584	-90	-90	-90	-90
139	0,2565	-90	-90	-90	-90
140	0,2574	-90	-90	-90	-90
141	0,2583	-90	-90	-90	-90
142	0,2568	-90	-90	-90	-90
143	0,2584	-89	-89	-89	-89
144	0,2525	-89	-89	-89	-89
145	0,2479	-89	-89	-89	-89
146	0,2433	-89	-89	-89	-89
147	0,2404	-89	-89	-89	-89
148	0,2376	-89	-89	-89	-89
149	0,2328	-89	-89	-89	-89
150	0,2280	-89	-89	-89	-89
151	0,2253	-89	-89	-89	-89
152	0,2207	-89	-89	-89	-89
153	0,2150	-89	-89	-89	-89
154	0,2112	-89	-89	-89	-89
155	0,2060	-89	-89	-89	-89
156	0,2019	-88	-88	-88	-88
157	0,1961	-88	-88	-88	-88
158	0,1918	-88	-88	-88	-88
159	0,1884	-88	-88	-88	-88
160	0,1838	-88	-88	-88	-88
161	0,1803	-88	-88	-88	-88
162	0,1736	-88	-88	-88	-88
163	0,1677	-88	-88	-88	-88
164	0,1615	-88	-88	-88	-88
165	0,1537	-88	-88	-88	-88
166	0,1469	-88	-88	-88	-88
167	0,1428	-88	-88	-88	-88
168	0,1365	-88	-88	-88	-88
169	0,1311	-87	-87	-87	-87
170	0,1277	-87	-87	-87	-87
171	0,1265	-87	-87	-87	-87
172	0,1260	-87	-87	-87	-87
173	0,1235	-87	-87	-87	-87
174	0,1200	-87	-87	-87	-87
175	0,1180	-87	-87	-87	-87
176	0,1189	-87	-87	-87	-87
177	0,1191	-87	-87	-87	-87
178	0,1169	-87	-87	-87	-87
179	0,1156	-87	-87	-87	-87
180	0,1151	-87	-87	-87	-87
181	0,1114	-87	-87	-87	-87
182	0,1084	-86	-86	-86	-86
183	0,1140	-86	-86	-86	-86
184	0,1168	-86	-86	-86	-86
185	0,1207	-86	-86	-86	-86
186	0,1227	-86	-86	-86	-86
187	0,1247	-86	-86	-86	-86
188	0,1291	-86	-86	-86	-86
189	0,1305	-86	-86	-86	-86
190	0,1335	-86	-86	-86	-86
191	0,1384	-86	-86	-86	-86
192	0,1445	-86	-86	-86	-86
193	0,1472	-86	-86	-86	-86
194	0,1510	-86	-86	-86	-86
195	0,1558	-85	-85	-85	-85
196	0,1585	-85	-85	-85	-85
197	0,1601	-85	-85	-85	-85
198	0,1658	-85	-85	-85	-85
199	0,1687	-85	-85	-85	-85
200	0,1739	-85	-85	-85	-85
201	0,1785	-85	-85	-85	-85
202	0,1826	-85	-85	-85	-85
203	0,1877	-85	-85	-85	-85
204	0,1909	-85	-85	-85	-85
205	0,1931	-85	-85	-85	-85
206	0,1948	-85	-85	-85	-85
207	0,1962	-85	-85	-85	-85
208	0,1983	-84	-84	-84	-84
209	0,2006	-84	-84	-84	-84
210	0,2029	-84	-84	-84	-84
211	0,2084	-84	-84	-84	-84
212	0,2129	-84	-84	-84	-84
213	0,2137	-84	-84	-84	-84
214	0,2165	-84	-84	-84	-84
215	0,2195	-84	-84	-84	-84
216	0,2237	-84	-84	-84	-84
217	0,2280	-84	-84	-84	-84
218	0,2317	-84	-84	-84	-84
219	0,2333	-84	-84	-84	-84
220	0,2382	-84	-84	-84	-84
221	0,2417	-83	-83	-83	-83
222	0,2481	-83	-83	-83	-83
223	0,2540	-83	-83	-83	-83
224	0,2562	-83	-83	-83	-83
225	0,2612	-83	-83	-83	-83
226	0,2669	-83	-83	-83	-83
227	0,2703	-83	-83	-83	-83
228	0,2753	-83	-83	-83	-83
229	0,2788	-83	-83	-83	-83
230	0,2843	-83	-83	-83	-83
231	0,2883	-83	-83	-83	-83
232	0,2919	-83	-83	-83	-83
233	0,2967	-83	-83	-83	-83
234	0,3007	-82	-82	-82	-82
235	0,3012	-82	-82	-82	-82
236	0,2988	-82	-82	-82	-82
237	0,2949	-82	-82	-82	-82
238	0,2913	-82	-82	-82	-82
239	0,2896	-82	-82	-82	-82
240	0,2875	-82	-82	-82	-82
241	0,2881	-82	-82	-82	-82
242	0,2857	-82	-82	-82	-82
243	0,2863	-82	-82	-82	-82
244	0,2844	-82	-82	-82	-82
245	0,2824	-82	-82	-82	-82
246	0,2794	-82	-82	-82	-82
247	0,2761	-81	-81	-81	-81
248	0,2744	-81	-81	-81	-81
249	0,2723	-81	-81	-81	-81
250	0,2695	-81	-81	-81	-81
251	0,2706	-81	-81	-81	-81
252	0,2676	-81	-81	-81	-81
253	0,2682	-81	-81	-81	-81
254	0,2693	-81	-81	-81	-81
255	0,2692	-81	-81	-81	-81
256	0,2665	-81	-81	-81	-81
257	0,2657	-81	-81	-81	-81
258	0,2639	-81	-81	-81	-81
259	0,2650	-81	-81	-81	-81
260	0,2619	-80	-80	-80	-80
261	0,2580	-80	-80	-80	-80
262	0,2537	-80	-80	-80	-80
263	0,2488	-80	-80	-80	-80
264	0,2440	-80	-80	-80	-80
265	0,2371	-80	-80	-80	-80
266	0,2318	-80	-80	-80	-80
267	0,2286	-80	-80	-80	-80
268	0,2234	-80	-80	-80	-80
269	0,2191	-80	-80	-80	-80
270	0,2124	-80	-80	-80	-80
271	0,2072	-80	-80	-80	-80
272	0,2009	-80	-80	-80	-80
273	0,1977	-79	-79	-79	-79
274	0,1974	-79	-79	-79	-79
275	0,1959	-79	-79	-79	-79
276	0,1924	-79	-79	-79	-79
277	0,1905	-79	-79	-79	-79
278	0,1867	-79	-79	-79	-79
279	0,1826	-79	-79	-79	-79
280	0,1782	-79	-79	-79	-79
281	0,1762	-79	-79	-79	-79
282	0,1734	-79	-79	-79	-79
283	0,1713	-79	-79	-79	-79
284	0,1695	-79	-79	-79	-79
285	0,1683	-79	-79	-79	-79
286	0,1651	-78	-78	-78	-78
287	0,1610	-78	-78	-78	-78
288	0,1586	-78	-78	-78	-78
289	0,1575	-78	-78	-78	-78
290	0,1553	-78	-78	-78	-78
291	0,1521	-78	-78	-78	-78
292	0,1513	-78	-78	-78	-78
293	0,1493	-78	-78	-78	-78
294	0,1458	-78	-78	-78	-78
295	0,1453	-78	-78	-78	-78
296	0,1447	-78	-78	-78	-78
297	0,1402	-78	-78	-78	-78
298	0,1388	-78	-78	-78	-78
299	0,1369	-77	-77	-77	-77
300	0,1400	-77	-77	-77	-77
301	0,1448	-77	-77	-77	-77
302	0,1470	-77	-77	-77	-77
303	0,1512	-77	-77	-77	-77
304	0,1558	-77	-77	-77	-77
305	0,1574	-77	-77	-77	-77
306	0,1613	-77	-77	-77	-77
307	0,1640	-77	-77	-77	-77
308	0,1654	-77	-77	-77	-77
309	0,1693	-77	-77	-77	-77
310	0,1730	-77	-77	-77	-77
311	0,1777	-77	-77	-77	-77
312	0,1779	-76	-76	-76	-76
313	0,1752	-76	-76	-76	-76
314	0,1711	-76	-76	-76	-76
315	0,1718	-76	-76	-76	-76
316	0,1697	-76	-76	-76	-76
317	0,1663	-76	-76	-76	-76
318	0,1647	-76	-76	-76	-76
319	0,1615	-76	-76	-76	-76
320	0,1574	-76	-76	-76	-76
321	0,1546	-76	-76	-76	-76
322	0,1545	-76	-76	-76	-76
323	0,1543	-76	-76	-76	-76
324	0,1547	-76	-76	-76	-76
325	0,1551	-75	-75	-75	-75
326	0,1546	-75	-75	-75	-75
327	0,1524	-75	-75	-75	-75
328	0,1506	-75	-75	-75	-75
329	0,1488	-75	-75	-75	-75
330	0,1473	-75	-75	-75	-75
331	0,1444	-75	-75	-75	-75
332	0,1452	-75	-75	-75	-75
333	0,1435	-75	-75	-75	-75
334	0,1401	-75	-75	-75	-75
335	0,1400	-75	-75	-75	-75
336	0,1402	-75	-75	-75	-75
337	0,1413	-75	-75	-75	-75
338	0,1405	-74	-74	-74	-74
339	0,1409	-74	-74	-74	-74
340	0,1401	-74	-74	-74	-74
341	0,1434	-74	-74	-74	-74
342	0,1446	-74	-74	-74	-74
343	0,1479	-74	-74	-74	-74
344	0,1490	-74	-74	-74	-74
345	0,1482	-74	-74	-74	-74
346	0,1518	-74	-74	-74	-74
347	0,1555	-74	-74	-74	-74
348	0,1580	-74	-74	-74	-74
349	0,1600	-74	-74	-74	-74
350	0,1597	-74	-74	-74	-74
351	0,1621	-73	-73	-73	-73
352	0,1647	-73	-73	-73	-73
353	0,1671	-73	-73	-73	-73
354	0,1665	-73	-73	-73	-73
355	0,1706	-73	-73	-73	-73
356	0,1719	-73	-73	-73	-73
357	0,1726	-73	-73	-73	-73
358	0,1764	-73	-73	-73	-73
359	0,1757	-73	-73	-73	-73
360	0,1770	-73	-73	-73	-73
361	0,1783	-73	-73	-73	-73
362	0,1801	-73	-73	-73	-73
363	0,1839	-73	-73	-73	-73
364	0,1849	-72	-72	-72	-72
365	0,1923	-72	-72	-72	-72
366	0,1962	-72	-72	-72	-72
367	0,2020	-72	-72	-72	-72
368	0,2056	-72	-72	-72	-72
369	0,2129	-72	-72	-72	-72
370	0,2178	-72	-72	-72	-72
371	0,2239	-72	-72	-72	-72
372	0,2274	-72	-72	-72	-72
373	0,2345	-72	-72	-72	-72
374	0,2386	-72	-72	-72	-72
375	0,2414	-72	-72	-72	-72
376	0,2461	-72	-72	-72	-72
377	0,2506	-71	-71	-71	-71
378	0,2538	-71	-71	-71	-71
379	0,2587	-71	-71	-71	-71
380	0,2640	-71	-71	-71	-71
381	0,2669	-71	-71	-71	-71
382	0,2707	-71	-71	-71	-71
383	0,2737	-71	-71	-71	-71
384	0,2790	-71	-71	-71	-71
385	0,2827	-71	-71	-71	-71
386	0,2876	-71	-71	-71	-71
387	0,2931	-71	-71	-71	-71
388	0,2974	-71	-71	-71	-71
389	0,3003	-71	-71	-71	-71
390	0,3059	-70	-70	-70	-70
391	0,3065	-70	-70	-70	-70
392	0,3062	-70	-70	-70	-70
393	0,3083	-70	-70	-70	-70
394	0,3104	-70	-70	-70	-70
395	0,3082	-70	-70	-70	-70
396	0,3064	-70	-70	-70	-70
397	0,3084	-70	-70	-70	-70
398	0,3091	-70	-70	-70	-70
399	0,3068	-70	-70	-70	-70
400	0,3061	-70	-70	-70	-70
401	0,3044	-70	-70	-70	-70
402	0,3028	-70	-70	-70	-70
403	0,3046	-69	-69	-69	-69
404	0,3051	-69	-69	-69	-69
405	0,3055	-69	-69	-69	-69
406	0,3071	-69	-69	-69	-69
407	0,3088	-69	-69	-69	-69
408	0,3101	-69	-69	-69	-69
409	0,3082	-69	-69	-69	-69
410	0,3087	-69	-69	-69	-69
411	0,3096	-69	-69	-69	-69
412	0,3099	-69	-69	-69	-69
413	0,3083	-69	-69	-69	-69
414	0,3077	-69	-69	-69	-69
415	0,3050	-69	-69	-69	-69
416	0,3030	-68	-68	-68	-68
417	0,3044	-68	-68	-68	-68
418	0,3073	-68	-68	-68	-68
419	0,3090	-68	-68	-68	-68
420	0,3109	-68	-68	-68	-68
421	0,3128	-68	-68	-68	-68
422	0,3133	-68	-68	-68	-68
423	0,3143	-68	-68	-68	-68
424	0,3149	-68	-68	-68	-68
425	0,3150	-68	-68	-68	-68
426	0,3138	-68	-68	-68	-68
427	0,3139	-68	-68	-68	-68
428	0,3134	-68	-68	-68	-68
429	0,3154	-67	-67	-67	-67
430	0,3173	-67	-67	-67	-67
431	0,3181	-67	-67	-67	-67
432	0,3175	-67	-67	-67	-67
433	0,3177	-67	-67	-67	-67
434	0,3188	-67	-67	-67	-67
435	0,3192	-67	-67	-67	-67
436	0,3218	-67	-67	-67	-67
437	0,3256	-67	-67	-67	-67
438	0,3289	-67	-67	-67	-67
439	0,3309	-67	-67	-67	-67
440	0,3318	-67	-67	-67	-67
441	0,3336	-67	-67	-67	-67
442	0,3355	-66	-66	-66	-66
443	0,3414	-66	-66	-66	-66
444	0,3467	-66	-66	-66	-66
445	0,3509	-66	-66	-66	-66
446	0,3530	-66	-66	-66	-66
447	0,3597	-66	-66	-66	-66
448	0,3634	-66	-66	-66	-66
449	0,3656	-66	-66	-66	-66
450	0,3683	-66	-66	-66	-66
451	0,3738	-66	-66	-66	-66
452	0,3781	-66	-66	-66	-66
453	0,3825	-66	-66	-66	-66
454	0,3867	-66	-66	-66	-66
455	0,3932	-65	-65	-65	-65
456	0,3920	-65	-65	-65	-65
457	0,3932	-65	-65	-65	-65
458	0,3934	-65	-65	-65	-65
459	0,3937	-65	-65	-65	-65
460	0,3934	-65	-65	-65	-65
461	0,3911	-65	-65	-65	-65
462	0,3894	-65	-65	-65	-65
463	0,3884	-65	-65	-65	-65
464	0,3868	-65	-65	-65	-65
465	0,3854	-65	-65	-65	-65
466	0,3862	-65	-65	-65	-65
467	0,3881	-65	-65	-65	-65
468	0,3899	-64	-64	-64	-64
469	0,3899	-64	-64	-64	-64
470	0,3902	-64	-64	-64	-64
471	0,3916	-64	-64	-64	-64
472	0,3921	-64	-64	-64	-64
473	0,3961	-64	-64	-64	-64
474	0,3991	-64	-64	-64	-64
475	0,4021	-64	-64	-64	-64
476	0,4053	-64	-64	-64	-64
477	0,4082	-64	-64	-64	-64
478	0,4095	-64	-64	-64	-64
479	0,4106	-64	-64	-64	-64
480	0,4121	-64	-64	-64	-64
481	0,4147	-63	-63	-63	-63
482	0,4156	-63	-63	-63	-63
483	0,4163	-63	-63	-63	-63
484	0,4177	-63	-63	-63	-63
485	0,4201	-63	-63	-63	-63
486	0,4197	-63	-63	-63	-63
487	0,4197	-63	-63	-63	-63
488	0,4204	-63	-63	-63	-63
489	0,4183	-63	-63	-63	-63
490	0,4208	-63	-63	-63	-63
491	0,4223	-63	-63	-63	-63
492	0,4200	-63	-63	-63	-63
493	0,4200	-63	-63	-63	-63
494	0,4210	-62	-62	-62	-62
495	0,4198	-62	-62	-62	-62
496	0,4172	-62	-62	-62	-62
497	0,4153	-62	-62	-62	-62
498	0,4120	-62	-62	-62	-62
499	0,4108	-62	-62	-62	-62
500	0,4090	-62	-62	-62	-62
501	0,4059	-62	-62	-62	-62
502	0,4053	-62	-62	-62	-62
503	0,4024	-62	-62	-62	-62
504	0,4004	-62	-62	-62	-62
505	0,3998	-62	-62	-62	-62
506	0,3974	-62	-62	-62	-62
507	0,3969	-61	-61	-61	-61
508	0,3957	-61	-61	-61	-61
509	0,3950	-61	-61	-61	-61
510	0,3946	-61	-61	-61	-61
511	0,3932	-61	-61	-61	-61
512	0,3938	-61	-61	-61	-61
513	0,3958	-61	-61	-61	-61
514	0,3976	-61	-61	-61	-61
515	0,3989	-61	-61	-61	-61
516	0,3998	-61	-61	-61	-61
517	0,4018	-61	-61	-61	-61
518	0,4027	-61	-61	-61	-61
519	0,4032	-61	-61	-61	-61
520	0,4019	-60	-60	-60	-60
521	0,3964	-60	-60	-60	-60
522	0,3930	-60	-60	-60	-60
523	0,3875	-60	-60	-60	-60
524	0,3832	-60	-60	-60	-60
525	0,3770	-60	-60	-60	-60
526	0,3719	-60	-60	-60	-60
527	0,3670	-60	-60	-60	-60
528	0,3631	-60	-60	-60	-60
529	0,3569	-60	-60	-60	-60
530	0,3520	-60	-60	-60	-60
531	0,3504	-60	-60	-60	-60
532	0,3454	-60	-60	-60	-60
533	0,3408	-59	-59	-59	-59
534	0,3349	-59	-59	-59	-59
535	0,3286	-59	-59	-59	-59
536	0,3219	-59	-59	-59	-59
537	0,3143	-59	-59	-59	-59
538	0,3102	-59	-59	-59	-59
539	0,3067	-59	-59	-59	-59
540	0,3025	-59	-59	-59	-59
541	0,2974	-59	-59	-59	-59
542	0,2911	-59	-59	-59	-59
543	0,2871	-59	-59	-59	-59
544	0,2833	-59	-59	-59	-59
545	0,2790	-59	-59	-59	-59
546	0,2738	-58	-58	-58	-58
547	0,2740	-58	-58	-58	-58
548	0,2737	-58	-58	-58	-58
549	0,2731	-58	-58	-58	-58
550	0,2752	-58	-58	-58	-58
551	0,2733	-58	-58	-58	-58
552	0,2755	-58	-58	-58	-58
553	0,2744	-58	-58	-58	-58
554	0,2740	-58	-58	-58	-58
555	0,2716	-58	-58	-58	-58
556	0,2694	-58	-58	-58	-58
557	0,2673	-58	-58	-58	-58
558	0,2660	-58	-58	-58	-58
559	0,2646	-57	-57	-57	-57
560	0,2641	-57	-57	-57	-57
561	0,2675	-57	-57	-57	-57
562	0,2667	-57	-57	-57	-57
563	0,2662	-57	-57	-57	-57
564	0,2669	-57	-57	-57	-57
565	0,2686	-57	-57	-57	-57
566	0,2677	-57	-57	-57	-57
567	0,2668	-57	-57	-57	-57
568	0,2674	-57	-57	-57	-57
569	0,2678	-57	-57	-57	-57
570	0,2692	-57	-57	-57	-57
571	0,2684	-57	-57	-57	-57
572	0,2678	-56	-56	-56	-56
573	0,2669	-56	-56	-56	-56
574	0,2667	-56	-56	-56	-56
575	0,2673	-56	-56	-56	-56
576	0,2665	-56	-56	-56	-56
577	0,2679	-56	-56	-56	-56
578	0,2688	-56	-56	-56	-56
579	0,2717	-56	-56	-56	-56
580	0,2728	-56	-56	-56	-56
581	0,2754	-56	-56	-56	-56
582	0,2738	-56	-56	-56	-56
583	0,2726	-56	-56	-56	-56
584	0,2728	-56	-56	-56	-56
585	0,2749	-55	-55	-55	-55
586	0,2704	-55	-55	-55	-55
587	0,2653	-55	-55	-55	-55
588	0,2591	-55	-55	-55	-55
589	0,2558	-55	-55	-55	-55
590	0,2529	-55	-55	-55	-55
591	0,2478	-55	-55	-55	-55
592	0,2438	-55	-55	-55	-55
593	0,2398	-55	-55	-55	-55
594	0,2371	-55	-55	-55	-55
595	0,2345	-55	-55	-55	-55
596	0,2301	-55	-55	-55	-55
597	0,2238	-55	-55	-55	-55
598	0,2207	-54	-54	-54	-54
599	0,2165	-54	-54	-54	-54
600	0,2121	-54	-54	-54	-54
601	0,2094	-54	-54	-54	-54
602	0,2051	-54	-54	-54	-54
603	0,2044	-54	-54	-54	-54
604	0,2038	-54	-54	-54	-54
605	0,2007	-54	-54	-54	-54
606	0,1999	-54	-54	-54	-54
607	0,1984	-54	-54	-54	-54
608	0,1984	-54	-54	-54	-54
609	0,1971	-54	-54	-54	-54
610	0,1962	-54	-54	-54	-54
611	0,1950	-53	-53	-53	-53
612	0,1931	-53	-53	-53	-53
613	0,1914	-53	-53	-53	-53
614	0,1895	-53	-53	-53	-53
615	0,1874	-53	-53	-53	-53
616	0,1895	-53	-53	-53	-53
617	0,1874	-53	-53	-53	-53
618	0,1886	-53	-53	-53	-53
619	0,1872	-53	-53	-53	-53
620	0,1865	-53	-53	-53	-53
621	0,1889	-53	-53	-53	-53
622	0,1887	-53	-53	-53	-53
623	0,1910	-53	-53	-53	-53
624	0,1889	-52	-52	-52	-52
625	0,1910	-52	-52	-52	-52
626	0,1939	-52	-52	-52	-52
627	0,1971	-52	-52	-52	-52
628	0,1994	-52	-52	-52	-52
629	0,2031	-52	-52	-52	-52
630	0,2046	-52	-52	-52	-52
631	0,2064	-52	-52	-52	-52
632	0,2099	-52	-52	-52	-52
633	0,2125	-52	-52	-52	-52
634	0,2121	-52	-52	-52	-52
635	0,2145	-52	-52	-52	-52
636	0,2186	-52	-52	-52	-52
637	0,2218	-51	-51	-51	-51
638	0,2247	-51	-51	-51	-51
639	0,2250	-51	-51	-51	-51
640	0,2297	-51	-51	-51	-51
641	0,2342	-51	-51	-51	-51
642	0,2369	-51	-51	-51	-51
643	0,2410	-51	-51	-51	-51
644	0,2428	-51	-51	-51	-51
645	0,2457	-51	-51	-51	-51
646	0,2489	-51	-51	-51	-51
647	0,2507	-51	-51	-51	-51
648	0,2512	-51	-51	-51	-51
649	0,2540	-51	-51	-51	-51
650	0,2577	-50	-50	-50	-50
651	0,2641	-50	-50	-50	-50
652	0,2691	-50	-50	-50	-50
653	0,2752	-50	-50	-50	-50
654	0,2824	-50	-50	-50	-50
655	0,2891	-50	-50	-50	-50
656	0,2950	-50	-50	-50	-50
657	0,2989	-50	-50	-50	-50
658	0,3063	-50	-50	-50	-50
659	0,3099	-50	-50	-50	-50
660	0,3130	-50	-50	-50	-50
661	0,3202	-50	-50	-50	-50
662	0,3242	-50	-50	-50	-50
663	0,3278	-49	-49	-49	-49
664	0,3278	-49	-49	-49	-49
665	0,3254	-49	-49	-49	-49
666	0,3251	-49	-49	-49	-49
667	0,3273	-49	-49	-49	-49
668	0,3263	-49	-49	-49	-49
669	0,3243	-49	-49	-49	-49
670	0,3245	-49	-49	-49	-49
671	0,3232	-49	-49	-49	-49
672	0,3256	-49	-49	-49	-49
673	0,3255	-49	-49	-49	-49
674	0,3247	-49	-49	-49	-49
675	0,3232	-49	-49	-49	-49
676	0,3221	-48	-48	-48	-48
677	0,3239	-48	-48	-48	-48
678	0,3276	-48	-48	-48	-48
679	0,3315	-48	-48	-48	-48
680	0,3345	-48	-48	-48	-48
681	0,3396	-48	-48	-48	-48
682	0,3442	-48	-48	-48	-48
683	0,3465	-48	-48	-48	-48
684	0,3493	-48	-48	-48	-48
685	0,3531	-48	-48	-48	-48
686	0,3586	-48	-48	-48	-48
687	0,3612	-48	-48	-48	-48
688	0,3637	-48	-48	-48	-48
689	0,3676	-47	-47	-47	-47
690	0,3742	-47	-47	-47	-47
691	0,3804	-47	-47	-47	-47
692	0,3826	-47	-47	-47	-47
693	0,3861	-47	-47	-47	-47
694	0,3914	-47	-47	-47	-47
695	0,3939	-47	-47	-47	-47
696	0,3964	-47	-47	-47	-47
697	0,4015	-47	-47	-47	-47
698	0,4082	-47	-47	-47	-47
699	0,4110	-47	-47	-47	-47
700	0,4145	-47	-47	-47	-47
701	0,4197	-47	-47	-47	-47
702	0,4234	-46	-46	-46	-46
703	0,4255	-46	-46	-46	-46
704	0,4263	-46	-46	-46	-46
705	0,4289	-46	-46	-46	-46
706	0,4318	-46	-46	-46	-46
707	0,4333	-46	-46	-46	-46
708	0,4346	-46	-46	-46	-46
709	0,4389	-46	-46	-46	-46
710	0,4425	-46	-46	-46	-46
711	0,4455	-46	-46	-46	-46
712	0,4485	-46	-46	-46	-46
713	0,4511	-46	-46	-46	-46
714	0,4537	-46	-46	-46	-46
715	0,4542	-45	-45	-45	-45
716	0,4536	-45	-45	-45	-45
717	0,4534	-45	-45	-45	-45
718	0,4536	-45	-45	-45	-45
719	0,4507	-45	-45	-45	-45
720	0,4504	-45	-45	-45	-45
721	0,4510	-45	-45	-45	-45
722	0,4486	-45	-45	-45	-45
723	0,4454	-45	-45	-45	-45
724	0,4436	-45	-45	-45	-45
725	0,4449	-45	-45	-45	-45
726	0,4436	-45	-45	-45	-45
727	0,4406	-45	-45	-45	-45
728	0,4409	-44	-44	-44	-44
729	0,4382	-44	-44	-44	-44
730	0,4344	-44	-44	-44	-44
731	0,4342	-44	-44	-44	-44
732	0,4343	-44	-44	-44	-44
